How old are you?,What is your gender?,How much do you weigh (in kgs)?,What is your height (in cms)?,How often do you do breathing exercises (Pranayama) / Yoga?  ,Do you smoke?,Do you feel difficult to breathe after a small physical activity?  ,What is your regular breakfast time?,What is your regular lunch time?,What is your regular dinner time?,How often will you eat junk food in a week?,How often do you include fruits and vegetables in your meals?,How many liters of water do you intake per day?,How many steps you walk per day?,"On a regular working day, for how many hours do you sit idle without any physical activity?",Do you have a habit of walking after having dinner?,"Apart from work, do you involve in any physical activity daily? (Gym, sports, etc)",How long do you sleep in a day?,When do you go to bed at night?,Do you follow circadian rhythm ? ( with sleep cycle of 10pm - 7am ) ,Do you have a regular bedtime and wake-up time?,What is the average time it takes you to fall asleep?,How do you rate your sleep quality?,Rate your stress levels,Do you have a habit of overthinking?,Is it possible to you to focus on one aspect without being distracted?,Are you mindful when you work?,How often do you forget important things?,How often do you get angry?,Score
20-30,Female,51,161,Weekly,No,Yes,Skip the breakfast,11am -1 pm,8-10 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,After 11pm,No,No,40-60 minutes,2,3,5,No,Yes,1,3,2.8
30-40,Female,63,168,Never,No,No,9-10 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,less than 5000,More than 6 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,4,4,No,No,3,3,2.9
30-40,Female,65,157,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Daily once,3-6 litres,less than 5000,Below 1 hour,No,No,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,4,3,5,Yes,Yes,1,3,3.2
30-40,Male,80,162,Weekly,No,No,After 10 am,2-3 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,More than 6 hours,No,No,8-10 hours,After 11pm,No,No,10-20 minutes,4,4,4,No,No,2,3,2.7
30-40,Female,68,163,Weekly,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,3,5,No,No,3,3,3.6
20-30,Male,84,178,Never,No,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,More than 6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,5,4,No,Yes,2,4,2.5
30-40,Female,64,150,Never,No,No,Skip the breakfast,11am -1 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,3,5,5,No,Yes,3,5,3.4
15-20,Male,85,170,Never,No,No,Before 8 am,1-2 pm,7-8 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,No,8-10 hours,10pm - 11pm,Yes,No,20 - 40 minutes,4,4,4,No,Yes,4,3,3
15-20,Male,75,175,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,more than 7 times per week,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,3,2,3,No,Yes,3,2,3.6
15-20,Male,104,189,Never,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,5000 - 10000,More than 6 hours,Yes,Yes,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,1,2,Yes,Yes,4,3,3.7
20-30,Male,90,180,Daily,Yes,Yes,9-10 am,1-2 pm,After 10 pm,No junk / Rarely,Every alternate day,3-6 litres,less than 5000,Below 1 hour,Yes,Yes,6-8 hours,9pm - 10pm,Yes,Yes,20 - 40 minutes,5,2,2,Yes,Yes,1,3,3
15-20,Male,120,179,Never,No,Yes,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,5,Yes,Yes,2,5,3.9
20-30,Male,81,186,15 days,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,more than 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,2,3,Yes,No,2,3,3.7
20-30,Male,70,170,Daily,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,4-6 hours,9pm - 10pm,No,Yes,10-20 minutes,5,5,5,Yes,Yes,5,5,3.2
15-20,Male,70,163,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Daily once,3-6 litres,more than 10000,1-3 hours,Yes,No,4-6 hours,After 11pm,No,No,20 - 40 minutes,4,3,3,No,Yes,3,2,2.6
15-20,Male,70,165,Never,No,No,Skip the breakfast,1-2 pm,8-10 pm,3-5 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,No,No,4-6 hours,After 11pm,No,No,40-60 minutes,4,4,5,No,Yes,3,2,2.7
20-30,Male,46,156,Never,No,Yes,8-9 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,4,5,Yes,No,4,5,3.1
15-20,Female,50,160,15 days,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,10pm - 11pm,No,No,40-60 minutes,4,4,3,Yes,Yes,3,4,3.2
15-20,Female,45,157,Never,No,No,9-10 am,2-3 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,4-6 hours,8pm - 9pm,Yes,Yes,20 - 40 minutes,4,2,4,Yes,Yes,4,5,2.9
15-20,Female,53,160,Never,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,No,40-60 minutes,3,3,3,No,No,2,2,3.6
15-20,Female,53,157,Weekly,No,No,Before 8 am,1-2 pm,8-10 pm,3-5 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,5,2,3,No,No,3,3,3.3
15-20,Female,52,167,15 days,No,No,After 10 am,1-2 pm,After 10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,5,5,Yes,Yes,2,4,2.8
15-20,Male,80,167,Never,No,Yes,Skip the breakfast,1-2 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,Yes,Yes,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,4,1,No,Yes,3,1,3
15-20,Male,55,170,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,After 11pm,Yes,Yes,20 - 40 minutes,3,4,3,Yes,Yes,2,4,3.6
15-20,Male,60,165,Weekly,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Daily once,1-3 litres,less than 5000,Below 1 hour,Yes,Yes,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,3,3,2,No,Yes,2,3,2.9
15-20,Female,50,172,Never,No,Yes,Before 8 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,Yes,Yes,4-6 hours,After 11pm,Yes,No,20 - 40 minutes,4,4,5,No,No,4,3,3.4
15-20,Male,55,139,Weekly,No,No,8-9 am,11am -1 pm,8-10 pm,3-5 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,No,8-10 hours,After 11pm,Yes,Yes,20 - 40 minutes,3,4,4,No,Yes,3,3,3.4
15-20,Male,80,152,Never,No,Yes,8-9 am,11am -1 pm,7-8 pm,3-5 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,5,3,4,Yes,Yes,4,2,3.9
15-20,Male,75,180,Weekly,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,Below 1 hour,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,4,No,No,3,3,3.1
15-20,Male,53,173,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,more than 10000,3-6 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,3,4,No,Yes,4,2,3.2
40-60,Male,75,176,Never,No,No,9-10 am,2-3 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,4,3,Yes,Yes,3,3,2.9
20-30,Female,51,169,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,After 11pm,No,No,10-20 minutes,3,3,3,No,Yes,4,3,2.9
40-60,Female,70,169,Never,No,No,9-10 am,2-3 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,4,4,No,Yes,3,3,2.5
15-20,Male,70,183,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,5000 - 10000,More than 6 hours,No,No,4-6 hours,10pm - 11pm,No,No,10-20 minutes,4,4,5,No,No,2,3,3.3
15-20,Male,55,182,Daily,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,More than 6 hours,No,Yes,6-8 hours,10pm - 11pm,No,No,10-20 minutes,5,3,4,No,Yes,3,4,3.1
15-20,Male,76,183,Never,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,Yes,8-10 hours,9pm - 10pm,No,No,20 - 40 minutes,4,2,3,Yes,Yes,2,2,2.5
20-30,Female,53,174,Never,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,9pm - 10pm,No,No,20 - 40 minutes,4,4,4,No,Yes,2,5,3.7
15-20,Male,63,153,15 days,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,3,3,No,Yes,3,3,4.1
15-20,Male,68,180,Weekly,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,more than 7 times per week,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,3,4,4,Yes,Yes,1,5,2.9
15-20,Male,56,170,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,Yes,No,10-20 minutes,3,5,5,No,No,5,3,2.6
15-20,Male,72,168,Never,No,No,Skip the breakfast,After 3 pm,After 10 pm,2-3 times,Never/Rarely,3-6 litres,more than 10000,More than 6 hours,No,No,6-8 hours,After 11pm,No,No,10-20 minutes,3,2,2,Yes,Yes,4,3,3.5
40-60,Female,64,155,Daily,No,No,9-10 am,1-2 pm,7-8 pm,No junk / Rarely,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,Yes,No,4-6 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,4,4,No,Yes,3,3,3.2
40-60,Male,76,175,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,Yes,Yes,20 - 40 minutes,4,2,1,Yes,Yes,1,4,3.1
Above 60,Female,60,150,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,Below 1 hour,No,No,4-6 hours,9pm - 10pm,Yes,Yes,40-60 minutes,2,3,4,Yes,Yes,2,2,3.1
15-20,Male,50,160,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,More than 6 hours,No,Yes,6-8 hours,After 11pm,Yes,Yes,10-20 minutes,3,4,2,Yes,Yes,4,4,2.9
15-20,Female,51,171,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,Yes,Yes,4-6 hours,After 11pm,No,Yes,20 - 40 minutes,4,4,4,No,No,4,4,3.4
15-20,Female,50,150,Daily,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,After 11pm,Yes,Yes,20 - 40 minutes,4,3,3,Yes,No,3,2,3.1
15-20,Female,51,172,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,Yes,Yes,4-6 hours,After 11pm,Yes,Yes,20 - 40 minutes,4,4,4,No,No,4,4,2.9
Above 60,Female,50,145,Never,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,No,No,40-60 minutes,2,5,5,No,No,5,3,2.9
15-20,Female,60,160,Never,No,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,More than 1 hour,5,5,5,No,Yes,5,5,2.9
Above 60,Male,55,160,Never,No,Yes,9-10 am,After 3 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,Below 1 hour,No,No,Above 10 hours,9pm - 10pm,Yes,Yes,20 - 40 minutes,4,2,2,Yes,Yes,2,4,3.4
15-20,Male,65,170,Never,No,No,8-9 am,1-2 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,3-6 litres,5000 - 10000,Below 1 hour,Yes,Yes,4-6 hours,After 11pm,No,No,10-20 minutes,3,2,2,Yes,Yes,1,4,3.4
40-60,Male,75,160,Never,No,No,8-9 am,2-3 pm,After 10 pm,2-3 times,Never/Rarely,3-6 litres,more than 10000,1-3 hours,Yes,Yes,6-8 hours,9pm - 10pm,Yes,Yes,20 - 40 minutes,4,4,4,No,No,3,5,3.4
40-60,Female,65,158,Never,No,No,8-9 am,2-3 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,4,Yes,Yes,4,5,3.3
15-20,Female,55,160,Never,No,No,8-9 am,2-3 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,2,2,No,No,4,3,4.3
Below 15,Female,40,140,Daily,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,more than 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,1,1,Yes,Yes,1,4,3.2
40-60,Male,75,170,Never,No,No,After 10 am,2-3 pm,8-10 pm,More than 5 times / Every day,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,No,No,8-10 hours,After 11pm,Yes,Yes,20 - 40 minutes,5,2,2,Yes,Yes,2,3,3
40-60,Female,70,150,Never,No,No,After 10 am,2-3 pm,After 10 pm,3-5 times,Every alternate day,3-6 litres,less than 5000,Below 1 hour,No,No,8-10 hours,After 11pm,Yes,Yes,10-20 minutes,5,1,1,No,No,3,4,3.6
15-20,Female,54,170,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,3-6 litres,less than 5000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,4,3,2,Yes,Yes,2,2,2.9
20-30,Female,70,170,Never,No,No,After 10 am,2-3 pm,After 10 pm,3-5 times,Every alternate day,3-6 litres,5000 - 10000,3-6 hours,No,No,8-10 hours,After 11pm,Yes,Yes,10-20 minutes,5,2,2,No,No,3,4,2.8
40-60,Female,70,155,15 days,No,Yes,8-9 am,2-3 pm,8-10 pm,3-5 times,Every alternate day,3-6 litres,less than 5000,1-3 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,3,4,4,No,No,3,4,2.6
40-60,Male,90,168,15 days,No,Yes,9-10 am,2-3 pm,After 10 pm,3-5 times,Every alternate day,3-6 litres,less than 5000,1-3 hours,No,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,5,4,Yes,Yes,3,4,2.6
15-20,Male,55,175,15 days,No,Yes,Before 8 am,1-2 pm,8-10 pm,3-5 times,Never/Rarely,3-6 litres,less than 5000,Below 1 hour,No,No,4-6 hours,After 11pm,Yes,Yes,10-20 minutes,3,3,4,No,No,3,4,3.2
Above 60,Male,95,165,15 days,No,Yes,Before 8 am,11am -1 pm,8-10 pm,More than 5 times / Every day,Every alternate day,1-3 litres,less than 5000,Below 1 hour,No,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,3,Yes,Yes,3,3,3.7
Above 60,Female,45,155,15 days,No,No,8-9 am,11am -1 pm,8-10 pm,3-5 times,Daily once,3-6 litres,less than 5000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,3,3,Yes,Yes,2,3,3.2
Below 15,Male,50,150,Never,No,Yes,8-9 am,11am -1 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,Below 1 hour,Yes,Yes,6-8 hours,9pm - 10pm,No,Yes,20 - 40 minutes,3,5,2,Yes,Yes,3,5,2.8
15-20,Female,72,165,15 days,No,Yes,9-10 am,2-3 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,4-6 hours,10pm - 11pm,Yes,No,40-60 minutes,5,4,4,No,No,3,4,1.6
15-20,Male,130,170,Never,Yes,Yes,8-9 am,1-2 pm,8-10 pm,3-5 times,Never/Rarely,1-3 litres,less than 5000,3-6 hours,No,No,4-6 hours,After 11pm,No,No,More than 1 hour,4,5,5,No,No,4,4,2.6
20-30,Male,65,155,15 days,No,Yes,After 10 am,After 3 pm,After 10 pm,More than 5 times / Every day,Never/Rarely,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,2,3,4,Yes,Yes,3,2,3.1
15-20,Male,65,175,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,4-6 hours,After 11pm,No,No,40-60 minutes,4,5,5,No,No,4,5,2.7
20-30,Female,80,150,Never,No,No,9-10 am,2-3 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,3-6 hours,No,No,Above 10 hours,10pm - 11pm,No,Yes,40-60 minutes,4,5,4,No,Yes,4,4,3.1
15-20,Female,45,163,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,5,4,3,No,Yes,5,4,1.7
40-60,Female,72,145,Never,No,No,Skip the breakfast,Skip the lunch,Skip the dinner,More than 5 times / Every day,Never/Rarely,Above 6 litres,more than 10000,More than 6 hours,No,No,Above 10 hours,After 11pm,No,No,More than 1 hour,4,5,5,No,No,5,5,3.6
40-60,Prefer not to say,78,178,Daily,Yes,Yes,Before 8 am,11am -1 pm,6-7 pm,No junk / Rarely,more than 7 times per week,1-3 litres,less than 5000,Below 1 hour,Yes,Yes,4-6 hours,8pm - 9pm,Yes,Yes,10-20 minutes,4,3,3,Yes,Yes,4,1,3.5
30-40,Female,66,160,Weekly,No,Yes,8-9 am,1-2 pm,7-8 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,9pm - 10pm,No,Yes,20 - 40 minutes,4,4,3,No,Yes,4,2,3.2
15-20,Female,56,159,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,No,No,4-6 hours,9pm - 10pm,No,Yes,20 - 40 minutes,3,5,2,Yes,Yes,1,3,2.6
Above 60,Prefer not to say,86,167,15 days,No,Yes,After 10 am,After 3 pm,After 10 pm,3-5 times,Every alternate day,3-6 litres,more than 10000,More than 6 hours,Yes,No,8-10 hours,10pm - 11pm,No,Yes,40-60 minutes,3,4,2,No,No,5,5,3.2
30-40,Female,89,190,Weekly,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,No,Above 10 hours,After 11pm,Yes,Yes,10-20 minutes,5,4,4,No,No,5,5,3.1
15-20,Male,80,175,15 days,No,Yes,Before 8 am,11am -1 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,Below 1 hour,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,5,4,5,No,No,4,5,2.3
20-30,Male,45,165,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,3-6 hours,No,No,8-10 hours,After 11pm,No,No,20 - 40 minutes,2,5,5,No,No,3,3,2.3
20-30,Male,67,169,Never,No,Yes,After 10 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,5,5,No,No,5,4,3.3
20-30,Male,50,179,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,1-3 hours,No,Yes,6-8 hours,After 11pm,Yes,No,20 - 40 minutes,4,2,4,No,Yes,2,2,3.5
Below 15,Female,45,130,15 days,No,Yes,Before 8 am,11am -1 pm,8-10 pm,3-5 times,Daily once,3-6 litres,less than 5000,1-3 hours,No,Yes,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,4,3,Yes,Yes,3,4,2.4
15-20,Male,75,177,Never,No,No,Skip the breakfast,11am -1 pm,8-10 pm,More than 5 times / Every day,Daily once,3-6 litres,less than 5000,More than 6 hours,No,No,4-6 hours,After 11pm,No,No,10-20 minutes,4,3,4,No,No,3,1,3.5
