How old are you?,What is your gender?,How much do you weigh (in kgs)?,What is your height (in cms)?,How often do you do breathing exercises (Pranayama) / Yoga?  ,Do you smoke?,Do you feel difficult to breathe after a small physical activity?  ,What is your regular breakfast time?,What is your regular lunch time?,What is your regular dinner time?,How often will you eat junk food in a week?,How often do you include fruits and vegetables in your meals?,How many liters of water do you intake per day?,How many steps you walk per day?,"On a regular working day, for how many hours do you sit idle without any physical activity?",Do you have a habit of walking after having dinner?,"Apart from work, do you involve in any physical activity daily? (Gym, sports, etc)",How long do you sleep in a day?,When do you go to bed at night?,Do you follow circadian rhythm ? ( with sleep cycle of 10pm - 7am ) ,Do you have a regular bedtime and wake-up time?,What is the average time it takes you to fall asleep?,How do you rate your sleep quality?,Rate your stress levels,Do you have a habit of overthinking?,Is it possible to you to focus on one aspect without being distracted?,Are you mindful when you work?,How often do you forget important things?,How often do you get angry?,Score
20-30,Male,62,159,Daily,No,Yes,9-10 am,1-2 pm,8-10 pm,3-5 times,Daily once,3-6 litres,5000 - 10000,1-3 hours,No,Yes,8-10 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,3,5,4,Yes,Yes,3,3,3.2
20-30,Male,57,165,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,3-5 times,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,No,10-20 minutes,4,3,4,No,Yes,3,3,3.4
15-20,Male,75,168,Never,No,No,8-9 am,1-2 pm,8-10 pm,3-5 times,more than 7 times per week,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,4,4,Yes,Yes,4,3,2.2
20-30,Female,40,180,Never,No,No,After 10 am,2-3 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,No,No,4-6 hours,After 11pm,No,No,20 - 40 minutes,3,4,4,No,Yes,3,3,3
15-20,Female,62,143,Never,No,No,8-9 am,11am -1 pm,6-7 pm,2-3 times,Daily once,1-3 litres,less than 5000,More than 6 hours,No,Yes,6-8 hours,After 11pm,No,Yes,More than 1 hour,1,3,4,Yes,Yes,1,2,3.2
15-20,Male,50,156,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,3-5 times,Daily once,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,9pm - 10pm,Yes,Yes,20 - 40 minutes,4,4,5,Yes,No,4,5,2.3
15-20,Male,50,172,Never,No,No,Skip the breakfast,1-2 pm,8-10 pm,3-5 times,Never/Rarely,Above 6 litres,less than 5000,Below 1 hour,No,No,Above 10 hours,After 11pm,No,No,More than 1 hour,5,4,4,No,No,4,4,3.3
20-30,Male,67,195,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,1-3 hours,No,Yes,8-10 hours,9pm - 10pm,No,Yes,40-60 minutes,5,4,4,No,Yes,4,2,2.7
Above 60,Prefer not to say,68,160,Weekly,Yes,Yes,Before 8 am,11am -1 pm,Skip the dinner,2-3 times,Every alternate day,Above 6 litres,less than 5000,Below 1 hour,No,Yes,4-6 hours,8pm - 9pm,Yes,No,More than 1 hour,5,5,5,Yes,Yes,5,5,3.7
Below 15,Male,59,175,Daily,No,Yes,Before 8 am,11am -1 pm,7-8 pm,No junk / Rarely,more than 7 times per week,Above 6 litres,5000 - 10000,More than 6 hours,Yes,Yes,Above 10 hours,8pm - 9pm,Yes,Yes,10-20 minutes,5,3,3,Yes,Yes,5,5,3.6
20-30,Male,46,167,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,Below 1 hour,No,Yes,6-8 hours,10pm - 11pm,No,Yes,20 - 40 minutes,5,3,4,Yes,Yes,1,4,3.1
15-20,Male,82,175,15 days,No,Yes,Before 8 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,more than 10000,Below 1 hour,No,Yes,4-6 hours,9pm - 10pm,No,No,More than 1 hour,4,4,5,Yes,Yes,4,5,2.5
15-20,Male,110,185,Never,No,Yes,8-9 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,3-6 hours,No,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,5,5,No,No,3,1,3.6
15-20,Female,54,150,Daily,No,Yes,Before 8 am,11am -1 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,less than 5000,1-3 hours,Yes,No,4-6 hours,9pm - 10pm,No,Yes,10-20 minutes,5,2,3,Yes,Yes,3,3,2.3
15-20,Female,50,164,Never,No,No,8-9 am,2-3 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,4,4,No,No,4,3,2.9
15-20,Male,86,180,Never,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,5000 - 10000,3-6 hours,No,No,4-6 hours,10pm - 11pm,No,Yes,10-20 minutes,3,4,4,No,No,4,5,3.1
15-20,Male,80,162,15 days,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,Below 1 hour,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,5,5,No,No,4,5,2.9
20-30,Male,58,170,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,3-6 hours,No,No,6-8 hours,9pm - 10pm,Yes,Yes,20 - 40 minutes,4,3,3,No,No,3,4,3.6
20-30,Male,51,177,Never,No,No,After 10 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,Yes,No,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,2,3,Yes,Yes,4,1,2.6
15-20,Female,70,173,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,More than 6 hours,Yes,No,4-6 hours,After 11pm,No,Yes,20 - 40 minutes,3,5,5,Yes,Yes,2,4,2.9
20-30,Female,80,162,15 days,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,8pm - 9pm,No,Yes,10-20 minutes,5,3,4,Yes,Yes,3,3,3.1
15-20,Male,70,156,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,More than 6 hours,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,3,3,Yes,Yes,2,2,3.6
15-20,Male,92,178,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,more than 10000,Below 1 hour,Yes,Yes,4-6 hours,After 11pm,No,No,10-20 minutes,5,4,2,Yes,Yes,3,3,3.7
20-30,Female,74,170,Weekly,No,No,9-10 am,1-2 pm,7-8 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,Below 1 hour,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,2,4,Yes,Yes,1,3,3.3
15-20,Female,70,168,Weekly,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,3-6 hours,No,Yes,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,5,No,Yes,3,5,3
20-30,Male,72,172,Never,No,No,Skip the breakfast,11am -1 pm,7-8 pm,More than 5 times / Every day,Daily once,1-3 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,3,4,4,Yes,Yes,5,5,3.4
15-20,Male,55,165,Daily,No,Yes,Before 8 am,11am -1 pm,8-10 pm,More than 5 times / Every day,more than 7 times per week,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,8-10 hours,After 11pm,No,No,40-60 minutes,4,3,2,No,Yes,3,3,3
15-20,Male,65,180,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Never/Rarely,3-6 litres,less than 5000,1-3 hours,No,No,6-8 hours,9pm - 10pm,No,No,20 - 40 minutes,4,3,4,No,Yes,2,3,3.2
15-20,Female,50,161,Never,No,No,Before 8 am,1-2 pm,7-8 pm,More than 5 times / Every day,more than 7 times per week,3-6 litres,more than 10000,1-3 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,40-60 minutes,4,4,4,No,Yes,4,4,3.3
15-20,Female,42,159,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,3-6 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,3,No,Yes,3,4,3.1
20-30,Male,58,182,Never,No,No,Before 8 am,11am -1 pm,After 10 pm,More than 5 times / Every day,more than 7 times per week,3-6 litres,5000 - 10000,3-6 hours,No,Yes,Above 10 hours,After 11pm,No,Yes,20 - 40 minutes,5,4,4,Yes,Yes,2,5,2.8
20-30,Male,72,170,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,3-5 times,Never/Rarely,1-3 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,9pm - 10pm,No,Yes,40-60 minutes,2,4,5,Yes,No,4,3,3.4
15-20,Male,77,170,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,5,2,3,No,Yes,2,3,3.2
20-30,Male,70,180,Daily,No,No,Before 8 am,1-2 pm,After 10 pm,More than 5 times / Every day,more than 7 times per week,Above 6 litres,more than 10000,More than 6 hours,Yes,Yes,Above 10 hours,After 11pm,No,No,40-60 minutes,5,5,5,No,Yes,5,3,3.8
15-20,Male,83,183,Daily,No,No,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,5,No,Yes,3,1,3
15-20,Male,65,171,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Daily once,3-6 litres,less than 5000,Below 1 hour,No,No,8-10 hours,After 11pm,No,Yes,20 - 40 minutes,4,5,5,Yes,Yes,3,5,3.4
15-20,Male,50,180,Weekly,No,No,9-10 am,1-2 pm,8-10 pm,3-5 times,more than 7 times per week,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,4,3,2,No,Yes,3,2,3.3
20-30,Female,52,149,15 days,No,Yes,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,more than 7 times per week,3-6 litres,5000 - 10000,3-6 hours,Yes,No,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,4,Yes,Yes,3,4,2.6
15-20,Male,79,179,Never,No,No,9-10 am,2-3 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,After 11pm,No,No,More than 1 hour,3,4,5,No,No,2,4,3.2
20-30,Male,79,182,15 days,No,No,After 10 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,less than 5000,Below 1 hour,No,No,6-8 hours,10pm - 11pm,No,No,10-20 minutes,4,3,1,No,Yes,2,2,1.2
Above 60,Female,120,170,Never,Yes,Yes,After 10 am,2-3 pm,After 10 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,No,More than 1 hour,1,5,5,No,No,5,5,2.4
15-20,Female,54,160,Never,No,No,8-9 am,2-3 pm,8-10 pm,3-5 times,Every alternate day,1-3 litres,less than 5000,3-6 hours,No,Yes,8-10 hours,After 11pm,No,No,More than 1 hour,1,5,5,No,Yes,4,4,3.3
20-30,Male,67,175,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,5000 - 10000,More than 6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,40-60 minutes,3,4,4,Yes,Yes,3,4,3.2
15-20,Male,52,190,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,5,5,No,No,4,5,3.9
15-20,Female,55,164,15 days,No,No,9-10 am,1-2 pm,7-8 pm,3-5 times,more than 7 times per week,1-3 litres,more than 10000,3-6 hours,Yes,Yes,8-10 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,1,3,Yes,Yes,2,4,3.7
15-20,Male,85,183,15 days,No,No,9-10 am,2-3 pm,Skip the dinner,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,3-6 hours,No,Yes,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,1,1,Yes,No,2,1,3.1
15-20,Male,55,160,Weekly,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,1-3 hours,No,Yes,6-8 hours,10pm - 11pm,No,No,More than 1 hour,2,3,4,Yes,Yes,3,5,3.1
15-20,Male,60,170,Never,No,No,8-9 am,1-2 pm,8-10 pm,3-5 times,Daily once,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,2,3,Yes,Yes,2,1,3.4
15-20,Male,69,170,Never,No,No,8-9 am,11am -1 pm,6-7 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,4,5,Yes,Yes,3,2,3
15-20,Female,60,155,Never,No,Yes,8-9 am,1-2 pm,7-8 pm,3-5 times,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,Yes,No,8-10 hours,After 11pm,No,No,10-20 minutes,5,3,4,Yes,Yes,2,1,2.5
20-30,Male,49,176,Never,Yes,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,1-3 hours,No,Yes,4-6 hours,After 11pm,No,No,10-20 minutes,4,4,4,Yes,Yes,2,2,3.1
20-30,Male,100,188,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,3-6 litres,less than 5000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,4,2,3,Yes,Yes,4,2,2.4
15-20,48,48,161,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,No,10-20 minutes,3,3,2,No,No,3,2,2.8
20-30,Male,87,175,Never,No,No,8-9 am,1-2 pm,6-7 pm,3-5 times,Every alternate day,3-6 litres,less than 5000,3-6 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,3,5,No,No,3,5,3.1
15-20,Male,58,167,Never,Yes,Yes,8-9 am,11am -1 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,more than 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,3,5,5,No,No,4,4,3.9
30-40,Male,74,172,Never,No,No,8-9 am,1-2 pm,7-8 pm,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,8-10 hours,8pm - 9pm,No,Yes,10-20 minutes,4,2,4,No,Yes,3,2,2.8
15-20,Male,87,166,Never,No,No,9-10 am,1-2 pm,8-10 pm,3-5 times,Daily once,Above 6 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,No,No,10-20 minutes,4,3,4,Yes,Yes,2,3,3.7
20-30,Female,75,164,Weekly,No,No,Skip the breakfast,11am -1 pm,7-8 pm,3-5 times,Daily once,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,5,Yes,Yes,2,2,3
30-40,Female,62,164,Never,No,No,Skip the breakfast,11am -1 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,5,2,No,Yes,2,4,3.3
20-30,Male,86,180,Never,No,No,9-10 am,1-2 pm,7-8 pm,2-3 times,more than 7 times per week,3-6 litres,less than 5000,Below 1 hour,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,4,3,Yes,Yes,2,3,3.6
30-40,Male,68,174,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,3,3,Yes,Yes,2,3,2.7
30-40,Male,84,165,Never,Yes,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,Never/Rarely,3-6 litres,less than 5000,More than 6 hours,No,No,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,4,No,Yes,3,2,3.7
15-20,Male,70,182,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Every alternate day,1-3 litres,less than 5000,1-3 hours,No,Yes,8-10 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,2,2,Yes,Yes,4,2,3.5
30-40,Male,65,180,Weekly,No,No,Before 8 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,More than 6 hours,No,No,4-6 hours,9pm - 10pm,No,Yes,10-20 minutes,5,2,2,Yes,Yes,2,2,3.7
15-20,Male,50,170,Never,No,No,8-9 am,1-2 pm,6-7 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,Below 1 hour,Yes,No,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,3,3,No,Yes,1,4,3
15-20,Male,45,170,15 days,No,No,9-10 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,No,8-10 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,2,3,Yes,Yes,4,3,3.7
20-30,Male,83,168,Daily,No,No,8-9 am,1-2 pm,7-8 pm,No junk / Rarely,Every alternate day,3-6 litres,more than 10000,1-3 hours,No,Yes,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,3,2,No,No,2,2,3.8
20-30,Male,56,165,15 days,No,No,Before 8 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,1-3 hours,Yes,No,8-10 hours,9pm - 10pm,No,Yes,10-20 minutes,5,2,2,Yes,Yes,4,3,3.7
15-20,Male,60,176,15 days,No,No,9-10 am,1-2 pm,8-10 pm,3-5 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,After 11pm,No,No,40-60 minutes,3,2,3,No,Yes,4,3,3.3
15-20,Female,64,154,15 days,No,No,8-9 am,1-2 pm,8-10 pm,3-5 times,Daily once,3-6 litres,less than 5000,3-6 hours,Yes,Yes,6-8 hours,After 11pm,Yes,Yes,10-20 minutes,5,3,3,Yes,Yes,3,2,3.7
30-40,Female,54,152,Daily,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,40-60 minutes,4,3,4,Yes,Yes,3,3,3.9
15-20,Female,43,157,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,3-6 hours,No,No,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,3,3,5,No,Yes,2,4,2.8
20-30,Female,52,157,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,20 - 40 minutes,2,4,5,No,Yes,4,5,3
15-20,Female,54,161,Never,No,Yes,8-9 am,11am -1 pm,7-8 pm,3-5 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,4-6 hours,After 11pm,No,No,40-60 minutes,3,4,4,No,Yes,3,2,2.7
20-30,Female,57,170,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,20 - 40 minutes,3,4,4,No,Yes,4,4,3.1
15-20,Male,94,173,15 days,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,9pm - 10pm,No,Yes,10-20 minutes,5,2,4,Yes,Yes,4,2,3.6
15-20,Male,70,180,Never,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,More than 6 hours,Yes,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,5,4,4,Yes,Yes,3,3,3.3
15-20,Male,65,172,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,More than 6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,2,3,Yes,Yes,3,4,3.6
15-20,Female,46,158,Never,No,No,Before 8 am,1-2 pm,8-10 pm,3-5 times,Daily once,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,9pm - 10pm,No,Yes,20 - 40 minutes,4,3,5,No,No,2,4,3
15-20,Female,70,151,Daily,No,No,Before 8 am,1-2 pm,8-10 pm,No junk / Rarely,more than 7 times per week,1-3 litres,5000 - 10000,More than 6 hours,No,Yes,8-10 hours,9pm - 10pm,Yes,No,10-20 minutes,5,3,4,Yes,Yes,3,4,3.7
20-30,Male,75,170,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,Below 1 hour,No,No,8-10 hours,After 11pm,No,Yes,20 - 40 minutes,4,4,3,Yes,Yes,4,2,3.2
30-40,Male,75,155,Never,No,Yes,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,8pm - 9pm,No,Yes,10-20 minutes,3,4,3,No,Yes,4,4,3.3
15-20,Male,60,165,Never,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,More than 6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,4,4,Yes,Yes,3,3,3.6
15-20,Female,64,173,Never,No,No,Skip the breakfast,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,3-6 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,20 - 40 minutes,5,4,4,Yes,Yes,3,4,3.2
15-20,Male,78,176,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,4,5,5,Yes,Yes,3,4,3.1
20-30,Male,80,178,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,4,3,5,Yes,Yes,3,3,3.1
15-20,Female,72,168,Weekly,No,No,8-9 am,1-2 pm,7-8 pm,No junk / Rarely,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,2,2,Yes,Yes,2,3,4.1
20-30,Female,52,160,Never,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,5,4,No,No,5,3,2.6
15-20,Male,85,180,Never,No,No,Skip the breakfast,1-2 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,4,4,No,Yes,2,2,3.2
15-20,Female,36,158,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,3,2,No,Yes,2,3,3.2
15-20,Male,90,174,Daily,No,No,Before 8 am,1-2 pm,7-8 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,More than 6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,2,Yes,Yes,2,2,4
