How old are you?,What is your gender?,How much do you weigh (in kgs)?,What is your height (in cms)?,How often do you do breathing exercises (Pranayama) / Yoga?  ,Do you smoke?,Do you feel difficult to breathe after a small physical activity?  ,What is your regular breakfast time?,What is your regular lunch time?,What is your regular dinner time?,How often will you eat junk food in a week?,How often do you include fruits and vegetables in your meals?,How many liters of water do you intake per day?,How many steps you walk per day?,"On a regular working day, for how many hours do you sit idle without any physical activity?",Do you have a habit of walking after having dinner?,"Apart from work, do you involve in any physical activity daily? (Gym, sports, etc)",How long do you sleep in a day?,When do you go to bed at night?,Do you follow circadian rhythm ? ( with sleep cycle of 10pm - 7am ) ,Do you have a regular bedtime and wake-up time?,What is the average time it takes you to fall asleep?,How do you rate your sleep quality?,Rate your stress levels,Do you have a habit of overthinking?,Is it possible to you to focus on one aspect without being distracted?,Are you mindful when you work?,How often do you forget important things?,How often do you get angry?,Score
15-20,Male,72,156,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,2,3,3,No,No,3,2,3.2
15-20,Male,70,172,15 days,No,Yes,8-9 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,4,4,Yes,Yes,3,3,3.4
20-30,Male,75,168,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,5,5,No,Yes,1,3,2.9
15-20,Female,40,150,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Daily once,3-6 litres,less than 5000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,5,3,5,Yes,Yes,2,5,3.5
15-20,Female,65,170,Never,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,Below 1 hour,No,Yes,6-8 hours,10pm - 11pm,No,No,More than 1 hour,4,2,2,Yes,Yes,3,3,3.5
20-30,Male,81,176,Weekly,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,less than 5000,More than 6 hours,Yes,No,4-6 hours,After 11pm,No,No,20 - 40 minutes,1,4,4,No,No,2,5,2.7
15-20,Female,69,170,Never,No,No,Skip the breakfast,11am -1 pm,7-8 pm,3-5 times,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,2,4,3,No,No,2,2,2.9
15-20,Female,50,160,Never,No,No,8-9 am,1-2 pm,7-8 pm,3-5 times,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,3,2,No,Yes,3,3,3.4
15-20,Male,60,172,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,more than 10000,1-3 hours,Yes,Yes,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,2,3,Yes,Yes,2,2,4.2
15-20,Female,50,162,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,More than 6 hours,No,No,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,4,Yes,Yes,4,2,3
15-20,Male,65,162,Never,No,Yes,Before 8 am,11am -1 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,Yes,No,10-20 minutes,4,5,5,No,Yes,5,5,2.4
15-20,Male,70,182,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,5000 - 10000,Below 1 hour,Yes,Yes,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,3,Yes,Yes,2,5,3.9
15-20,Female,70,161,Never,No,Yes,8-9 am,1-2 pm,7-8 pm,More than 5 times / Every day,Every alternate day,Above 6 litres,less than 5000,1-3 hours,No,No,6-8 hours,After 11pm,No,No,10-20 minutes,3,3,4,No,No,3,4,2.6
30-40,Male,90,180,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,9pm - 10pm,No,Yes,20 - 40 minutes,4,2,2,No,Yes,3,2,3.1
15-20,Male,54,177,15 days,No,No,9-10 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,2,4,Yes,Yes,1,4,3.6
15-20,Female,43,164,Weekly,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,3-6 hours,Yes,No,4-6 hours,After 11pm,No,Yes,10-20 minutes,4,3,5,No,No,4,2,2.8
15-20,Male,50,180,Daily,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,4-6 hours,After 11pm,No,No,10-20 minutes,3,1,1,No,Yes,1,1,3.7
15-20,Male,105,153,Never,No,Yes,After 10 am,1-2 pm,8-10 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,No,More than 1 hour,3,4,5,No,No,2,4,1.8
15-20,Male,84,180,Never,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,2,3,Yes,Yes,3,3,3.4
15-20,Male,55,170,Weekly,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,3,4,Yes,Yes,2,2,3.7
15-20,Female,59,168,Weekly,No,No,9-10 am,1-2 pm,Skip the dinner,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,10pm - 11pm,No,No,10-20 minutes,3,5,5,No,Yes,4,3,3.3
15-20,Female,45,150,Never,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Never/Rarely,3-6 litres,less than 5000,1-3 hours,No,No,6-8 hours,After 11pm,No,No,10-20 minutes,4,4,5,Yes,Yes,4,4,2.9
20-30,Male,80,178,Never,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,more than 10000,3-6 hours,Yes,Yes,4-6 hours,After 11pm,No,No,10-20 minutes,4,3,3,No,Yes,3,4,3.2
40-60,Male,80,170,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,More than 6 hours,No,No,6-8 hours,After 11pm,Yes,Yes,20 - 40 minutes,5,4,2,Yes,Yes,1,3,3.1
30-40,Male,72,172,Never,No,No,Before 8 am,1-2 pm,8-10 pm,No junk / Rarely,more than 7 times per week,3-6 litres,more than 10000,1-3 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,2,Yes,Yes,3,3,4.1
15-20,Female,62,161,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,1-3 litres,5000 - 10000,More than 6 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,4,Yes,Yes,2,3,3.3
20-30,Male,89,170,Never,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,Above 6 litres,more than 10000,1-3 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,4,5,No,No,3,2,3.3
20-30,Male,78,170,15 days,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,Above 6 litres,more than 10000,1-3 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,3,5,No,No,2,1,3.4
15-20,Female,58,150,Never,No,No,8-9 am,11am -1 pm,7-8 pm,3-5 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,2,4,No,No,3,2,3.3
20-30,Female,52,163,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,No,4-6 hours,10pm - 11pm,No,Yes,20 - 40 minutes,4,3,3,Yes,Yes,3,3,3.5
20-30,Male,68,172,Never,No,No,8-9 am,1-2 pm,8-10 pm,3-5 times,more than 7 times per week,3-6 litres,more than 10000,3-6 hours,Yes,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,5,3,4,No,Yes,4,2,3.4
15-20,Male,58,172,Never,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,Below 1 hour,Yes,Yes,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,3,3,3,No,Yes,1,4,3.3
15-20,Male,76,177,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,3,4,Yes,Yes,3,2,3.5
15-20,Male,68,175,Never,No,Yes,8-9 am,1-2 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,3-6 hours,No,No,6-8 hours,After 11pm,Yes,No,20 - 40 minutes,3,3,4,Yes,Yes,3,3,2.6
20-30,Male,74,180,Never,No,Yes,8-9 am,1-2 pm,7-8 pm,No junk / Rarely,Never/Rarely,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,3,4,Yes,Yes,4,4,3.2
15-20,Female,53,165,Never,No,No,Skip the breakfast,1-2 pm,After 10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,3-6 hours,No,No,4-6 hours,After 11pm,No,No,10-20 minutes,5,4,5,No,Yes,2,3,2.4
15-20,Male,56,176,Never,No,No,After 10 am,2-3 pm,After 10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,1-3 hours,No,Yes,8-10 hours,8pm - 9pm,No,No,20 - 40 minutes,4,3,3,Yes,No,2,2,3.2
15-20,Male,80,170,15 days,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,Above 6 litres,5000 - 10000,1-3 hours,Yes,No,4-6 hours,After 11pm,No,Yes,20 - 40 minutes,3,4,5,Yes,Yes,2,4,3.4
15-20,Female,55,165,Never,No,No,8-9 am,1-2 pm,7-8 pm,3-5 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,3,2,Yes,Yes,2,3,3.3
15-20,Female,55,161,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,No junk / Rarely,more than 7 times per week,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,5,4,Yes,Yes,2,3,3.3
15-20,Female,55,163,Daily,No,Yes,9-10 am,2-3 pm,Skip the dinner,No junk / Rarely,Daily once,Above 6 litres,more than 10000,1-3 hours,Yes,Yes,8-10 hours,10pm - 11pm,No,Yes,10-20 minutes,5,4,5,Yes,Yes,2,1,3.8
20-30,Male,85,179,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,3,4,Yes,Yes,1,5,3.1
15-20,Female,53,164,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,2,3,No,Yes,2,2,3.5
20-30,Female,73,158,Weekly,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,3,4,4,Yes,Yes,3,3,3.4
15-20,Male,75,170,Weekly,No,No,8-9 am,11am -1 pm,7-8 pm,3-5 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,4,3,No,No,5,2,3.6
15-20,Male,65,176,15 days,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,3,2,5,No,Yes,4,3,3.2
15-20,Female,58,164,Never,No,No,8-9 am,1-2 pm,7-8 pm,3-5 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,4,3,3,Yes,Yes,2,3,3.3
20-30,Male,73,170,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,3-6 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,2,4,1,No,No,2,4,2.8
20-30,Male,80,178,Never,No,No,Skip the breakfast,2-3 pm,8-10 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,4,2,2,Yes,Yes,3,2,3.2
15-20,Female,44,155,Never,No,Yes,Before 8 am,1-2 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,4,5,5,No,Yes,3,4,3
15-20,Female,50,163,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,4,2,2,Yes,Yes,2,2,3.5
15-20,Male,60,175,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,More than 6 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,5,2,2,Yes,No,3,2,3.5
15-20,Female,64,158,15 days,No,No,After 10 am,2-3 pm,After 10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,No,4-6 hours,After 11pm,No,Yes,10-20 minutes,4,4,3,No,Yes,4,4,3
20-30,Male,95,177,Never,No,No,8-9 am,11am -1 pm,7-8 pm,3-5 times,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,No,10-20 minutes,4,5,5,No,No,2,5,3.3
15-20,Male,65,180,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,4-6 hours,9pm - 10pm,Yes,Yes,20 - 40 minutes,4,3,2,Yes,Yes,1,4,3.8
15-20,Male,53,180,Never,No,No,Before 8 am,1-2 pm,7-8 pm,3-5 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,Yes,No,8-10 hours,9pm - 10pm,Yes,Yes,10-20 minutes,4,3,4,Yes,Yes,2,4,3.2
20-30,Female,53,162,Daily,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,3,4,No,Yes,1,2,3.4
15-20,Female,65,155,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,5,5,Yes,Yes,4,4,3.4
15-20,Male,72,179,15 days,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,1,5,Yes,Yes,1,1,3
15-20,Male,70,176,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,4-6 hours,After 11pm,No,Yes,10-20 minutes,4,4,4,Yes,Yes,3,5,3.2
15-20,Female,55,167,15 days,No,No,8-9 am,1-2 pm,8-10 pm,3-5 times,Daily once,1-3 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,4,3,3,Yes,Yes,2,3,3.4
15-20,Male,60,175,15 days,No,No,Before 8 am,11am -1 pm,8-10 pm,No junk / Rarely,Never/Rarely,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,5,1,3,Yes,Yes,2,2,3.9
15-20,Female,62,157,Never,No,No,8-9 am,11am -1 pm,7-8 pm,More than 5 times / Every day,more than 7 times per week,1-3 litres,less than 5000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,2,4,Yes,Yes,3,3,3.4
15-20,Male,50,168,Never,No,Yes,9-10 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,10pm - 11pm,No,No,20 - 40 minutes,3,5,5,No,No,3,2,2.3
20-30,Female,39,162,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,3-5 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,No,No,8-10 hours,10pm - 11pm,No,Yes,20 - 40 minutes,4,3,3,Yes,Yes,1,3,3.2
20-30,Male,80,165,Weekly,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,5,3,4,Yes,Yes,2,3,3.8
15-20,Female,56,154,Never,No,No,8-9 am,2-3 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,3-6 hours,No,No,6-8 hours,After 11pm,No,Yes,More than 1 hour,3,5,5,No,No,3,3,2.6
30-40,Male,72,168,Never,No,No,Before 8 am,1-2 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,5000 - 10000,3-6 hours,No,Yes,4-6 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,3,5,4,No,Yes,3,4,3.3
15-20,Female,50,162,Never,No,No,Skip the breakfast,1-2 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,3,4,Yes,Yes,2,2,3.3
15-20,Female,60,170,Weekly,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,No,8-10 hours,10pm - 11pm,No,No,20 - 40 minutes,4,4,5,No,Yes,2,4,3.4
20-30,Male,80,167,Never,No,Yes,Skip the breakfast,11am -1 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,3,4,Yes,Yes,3,4,3.1
20-30,Male,57,177,Weekly,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,Below 1 hour,Yes,Yes,6-8 hours,After 11pm,No,Yes,10-20 minutes,3,3,3,No,Yes,3,2,3.6
20-30,Male,75,170,Never,No,Yes,Before 8 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,More than 6 hours,No,No,8-10 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,4,5,Yes,Yes,3,3,2.9
15-20,Female,55,158,15 days,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,4,4,No,Yes,2,3,4
20-30,Female,52,158,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,4,4,5,No,Yes,3,3,3
15-20,Male,85,108,Weekly,No,No,Before 8 am,1-2 pm,7-8 pm,2-3 times,Daily once,Above 6 litres,more than 10000,1-3 hours,Yes,Yes,8-10 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,3,3,Yes,Yes,3,2,4.2
15-20,Female,59,165,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,less than 5000,3-6 hours,No,No,8-10 hours,10pm - 11pm,No,No,40-60 minutes,3,5,5,No,No,3,5,2.4
30-40,Male,85,156,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,5000 - 10000,Below 1 hour,Yes,Yes,6-8 hours,9pm - 10pm,No,Yes,40-60 minutes,4,3,2,No,Yes,4,4,3.7
15-20,Female,65,162,Weekly,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Daily once,1-3 litres,more than 10000,1-3 hours,No,Yes,6-8 hours,After 11pm,No,Yes,More than 1 hour,4,4,1,Yes,Yes,1,2,3.7
30-40,Male,63,167,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,3-6 hours,No,No,4-6 hours,10pm - 11pm,No,No,10-20 minutes,3,3,4,No,Yes,3,3,2.6
15-20,Male,70,180,15 days,No,Yes,8-9 am,2-3 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,Yes,8-10 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,2,4,Yes,Yes,2,2,3.7
15-20,Male,48,173,Never,No,No,9-10 am,2-3 pm,8-10 pm,2-3 times,Daily once,Above 6 litres,less than 5000,3-6 hours,No,Yes,8-10 hours,10pm - 11pm,No,Yes,10-20 minutes,3,3,5,Yes,Yes,4,3,3.1
15-20,Female,61,164,Never,No,No,Before 8 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,10pm - 11pm,No,No,40-60 minutes,4,4,4,No,Yes,3,4,3
20-30,Male,85,185,Never,No,Yes,9-10 am,1-2 pm,8-10 pm,3-5 times,Never/Rarely,3-6 litres,less than 5000,3-6 hours,Yes,No,4-6 hours,After 11pm,Yes,No,20 - 40 minutes,3,3,4,No,Yes,3,3,2.6
15-20,Male,57,174,Weekly,No,No,After 10 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,1-3 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,3,4,Yes,Yes,4,4,3.1
15-20,Male,65,180,Never,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,4,2,4,No,Yes,4,3,3.5
20-30,Male,69,174,Never,No,No,Skip the breakfast,1-2 pm,7-8 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,5000 - 10000,More than 6 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,1,1,5,No,No,3,3,2.6
30-40,Female,55,155,Never,No,No,Before 8 am,1-2 pm,7-8 pm,3-5 times,Daily once,1-3 litres,less than 5000,1-3 hours,No,Yes,4-6 hours,9pm - 10pm,No,Yes,20 - 40 minutes,3,4,5,No,No,3,3,3.1
15-20,Male,88,182,Never,No,Yes,Skip the breakfast,11am -1 pm,7-8 pm,No junk / Rarely,more than 7 times per week,3-6 litres,less than 5000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,5,5,No,Yes,2,5,3.1
40-60,Male,109,190,Daily,No,Yes,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,Below 1 hour,No,No,4-6 hours,8pm - 9pm,No,Yes,10-20 minutes,3,5,5,Yes,Yes,2,4,3.4
15-20,Female,53,160,Never,No,No,Skip the breakfast,1-2 pm,After 10 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,4,5,No,No,3,4,2.5
15-20,Male,85,177,15 days,No,No,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,3,4,4,No,Yes,3,3,3.5
