How old are you?,What is your gender?,How much do you weigh (in kgs)?,What is your height (in cms)?,How often do you do breathing exercises (Pranayama) / Yoga?  ,Do you smoke?,Do you feel difficult to breathe after a small physical activity?  ,What is your regular breakfast time?,What is your regular lunch time?,What is your regular dinner time?,How often will you eat junk food in a week?,How often do you include fruits and vegetables in your meals?,How many liters of water do you intake per day?,How many steps you walk per day?,"On a regular working day, for how many hours do you sit idle without any physical activity?",Do you have a habit of walking after having dinner?,"Apart from work, do you involve in any physical activity daily? (Gym, sports, etc)",How long do you sleep in a day?,When do you go to bed at night?,Do you follow circadian rhythm ? ( with sleep cycle of 10pm - 7am ) ,Do you have a regular bedtime and wake-up time?,What is the average time it takes you to fall asleep?,How do you rate your sleep quality?,Rate your stress levels,Do you have a habit of overthinking?,Is it possible to you to focus on one aspect without being distracted?,Are you mindful when you work?,How often do you forget important things?,How often do you get angry?,Score
15-20,Male,85,186,15 days,No,No,9-10 am,2-3 pm,8-10 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,5,1,3,No,Yes,1,4,3.26
20-30,Female,63,160,Weekly,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,3-6 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,20 - 40 minutes,3,3,3,Yes,Yes,3,1,3.5
15-20,Female,53,165,15 days,No,Yes,9-10 am,2-3 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,More than 6 hours,No,Yes,6-8 hours,After 11pm,No,Yes,20 - 40 minutes,2,3,3,No,No,2,4,2.63
15-20,Male,91,183,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,No junk / Rarely,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,10pm - 11pm,No,No,10-20 minutes,4,2,5,Yes,Yes,2,3,3.3
15-20,Male,75,166,Never,No,No,9-10 am,2-3 pm,After 10 pm,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,Below 1 hour,Yes,Yes,4-6 hours,After 11pm,No,No,20 - 40 minutes,5,3,3,No,No,4,2,3.31
15-20,Male,70,173,Never,No,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,more than 7 times per week,1-3 litres,less than 5000,1-3 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,No,10-20 minutes,4,3,3,Yes,Yes,3,4,3.73
15-20,Male,82,172,Never,No,No,9-10 am,1-2 pm,8-10 pm,3-5 times,Never/Rarely,3-6 litres,less than 5000,Below 1 hour,Yes,No,6-8 hours,After 11pm,No,No,10-20 minutes,4,3,4,Yes,Yes,2,5,3.08
15-20,Female,54,158,15 days,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,3,2,1,No,Yes,2,2,3.8
15-20,Male,69,175,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,More than 5 times / Every day,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,4,5,No,Yes,2,5,3.36
15-20,Male,77,182,Never,No,No,Skip the breakfast,11am -1 pm,7-8 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,1,2,Yes,Yes,2,2,3.6
20-30,Male,86,189,Never,No,Yes,9-10 am,1-2 pm,8-10 pm,3-5 times,Every alternate day,3-6 litres,less than 5000,More than 6 hours,Yes,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,4,2,2,Yes,Yes,4,2,3.16
20-30,Female,75,179,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Daily once,1-3 litres,less than 5000,1-3 hours,Yes,No,8-10 hours,After 11pm,No,No,10-20 minutes,5,5,5,Yes,Yes,3,4,3.23
20-30,Female,56,155,15 days,No,No,Skip the breakfast,11am -1 pm,8-10 pm,More than 5 times / Every day,more than 7 times per week,1-3 litres,less than 5000,Below 1 hour,No,Yes,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,3,2,Yes,Yes,2,2,3.65
15-20,Male,61,176,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,5,1,2,Yes,Yes,1,3,3.86
15-20,Male,54,161,Never,No,No,Skip the breakfast,11am -1 pm,7-8 pm,3-5 times,Every alternate day,3-6 litres,more than 10000,1-3 hours,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,4,3,Yes,Yes,3,3,3.48
20-30,Male,85,171,Daily,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,Above 6 litres,5000 - 10000,Below 1 hour,Yes,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,4,3,No,Yes,3,2,3.81
15-20,Female,70,167,15 days,No,No,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,3-6 hours,Yes,No,8-10 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,2,2,Yes,Yes,2,1,3.93
15-20,Male,82,183,15 days,No,No,Before 8 am,11am -1 pm,7-8 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,No,Yes,8-10 hours,9pm - 10pm,No,Yes,10-20 minutes,5,1,1,Yes,Yes,4,1,4.03
15-20,Male,70,178,Never,No,No,9-10 am,1-2 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,No,10-20 minutes,5,3,4,No,No,4,4,2.63
15-20,Female,65,170,Weekly,No,No,8-9 am,1-2 pm,8-10 pm,3-5 times,more than 7 times per week,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,4,4,No,Yes,2,3,3.5
15-20,Male,56,154,Never,No,No,After 10 am,1-2 pm,After 10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,3,4,Yes,Yes,2,3,2.9
15-20,Female,53,155,Daily,No,No,8-9 am,1-2 pm,6-7 pm,No junk / Rarely,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,5,3,3,Yes,Yes,2,5,3.96
20-30,Female,47,152,15 days,No,No,8-9 am,11am -1 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,4,3,4,No,No,3,4,3.2
15-20,Male,70,178,Weekly,No,No,9-10 am,1-2 pm,After 10 pm,3-5 times,more than 7 times per week,3-6 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,5,5,No,No,2,2,3.4
15-20,Male,51,182,Never,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,10pm - 11pm,No,No,10-20 minutes,4,1,2,Yes,Yes,1,1,3.33
15-20,Female,52,150,Daily,No,No,9-10 am,1-2 pm,7-8 pm,3-5 times,more than 7 times per week,1-3 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,3,2,3,Yes,Yes,2,2,3.63
20-30,Female,57,152,Never,No,No,Before 8 am,1-2 pm,8-10 pm,3-5 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,5,4,5,No,Yes,3,4,3.16
15-20,Male,60,178,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,more than 10000,1-3 hours,No,Yes,6-8 hours,9pm - 10pm,No,No,20 - 40 minutes,3,3,3,Yes,Yes,1,2,3.55
15-20,Male,90,195,15 days,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,No,10-20 minutes,4,3,3,Yes,Yes,2,3,3.7
20-30,Male,83,168,Never,No,Yes,Before 8 am,1-2 pm,After 10 pm,3-5 times,more than 7 times per week,1-3 litres,less than 5000,1-3 hours,No,No,4-6 hours,After 11pm,No,No,10-20 minutes,5,5,5,Yes,Yes,3,4,2.63
15-20,Male,70,174,Daily,No,Yes,After 10 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,10pm - 11pm,No,No,10-20 minutes,5,1,4,Yes,Yes,5,4,2.9
20-30,Male,82,179,Daily,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,3,3,No,Yes,2,4,3.63
15-20,Male,50,165,15 days,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,3,4,No,Yes,2,3,3.53
15-20,Male,69,180,Weekly,No,No,9-10 am,11am -1 pm,8-10 pm,3-5 times,Daily once,3-6 litres,less than 5000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,Yes,Yes,10-20 minutes,4,3,4,Yes,Yes,2,2,3.86
15-20,Female,61,155,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,3-6 hours,Yes,No,4-6 hours,After 11pm,No,No,10-20 minutes,3,4,4,No,Yes,5,4,2.76
15-20,Male,95,180,Never,No,No,Skip the breakfast,After 3 pm,8-10 pm,3-5 times,Daily once,3-6 litres,5000 - 10000,More than 6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,3,5,No,Yes,1,4,3.1
20-30,Female,45,161,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,4,3,3,No,Yes,4,4,2.86
15-20,Male,73,175,Never,No,No,Skip the breakfast,1-2 pm,8-10 pm,3-5 times,Daily once,1-3 litres,5000 - 10000,3-6 hours,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,4,4,Yes,Yes,2,3,3.13
20-30,Female,49,163,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Daily once,3-6 litres,less than 5000,3-6 hours,No,Yes,8-10 hours,9pm - 10pm,No,Yes,10-20 minutes,4,4,5,No,Yes,5,3,3.33
15-20,Male,75,170,Never,No,No,8-9 am,2-3 pm,7-8 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,9pm - 10pm,No,No,20 - 40 minutes,3,5,5,Yes,Yes,1,5,3.2
15-20,Female,65,158,15 days,No,No,Before 8 am,1-2 pm,8-10 pm,3-5 times,Every alternate day,1-3 litres,less than 5000,More than 6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,3,4,Yes,No,4,4,2.9
15-20,Male,58,151,Never,No,No,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Every alternate day,Above 6 litres,more than 10000,1-3 hours,No,Yes,6-8 hours,After 11pm,Yes,Yes,10-20 minutes,2,4,5,No,No,2,4,3.55
20-30,Male,72,176,Never,Yes,No,8-9 am,11am -1 pm,7-8 pm,3-5 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,Yes,No,8-10 hours,After 11pm,Yes,Yes,10-20 minutes,4,5,4,Yes,No,4,4,2.93
15-20,Male,60,178,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,1-3 litres,5000 - 10000,Below 1 hour,No,Yes,6-8 hours,9pm - 10pm,No,No,20 - 40 minutes,3,2,3,Yes,Yes,1,2,3.65
15-20,Male,82,175,Never,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,No,Yes,8-10 hours,After 11pm,No,No,10-20 minutes,4,4,3,Yes,Yes,1,3,3.43
15-20,Male,64,175,Never,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Never/Rarely,3-6 litres,less than 5000,1-3 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,2,4,Yes,Yes,3,2,3.3
20-30,Female,62,168,15 days,No,No,Before 8 am,11am -1 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,1-3 hours,Yes,No,8-10 hours,9pm - 10pm,Yes,Yes,10-20 minutes,4,4,3,No,Yes,2,2,3.8
15-20,Female,49,166,15 days,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,4,4,Yes,Yes,2,3,3.53
15-20,Female,68,162,Never,No,Yes,8-9 am,11am -1 pm,6-7 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,Below 1 hour,No,No,6-8 hours,After 11pm,No,No,40-60 minutes,3,3,4,No,No,1,2,2.85
15-20,Male,78,155,Never,No,No,8-9 am,11am -1 pm,7-8 pm,3-5 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,No,No,10-20 minutes,4,4,5,No,No,3,5,3.26
15-20,Male,51,168,Weekly,No,No,Before 8 am,1-2 pm,8-10 pm,3-5 times,Every alternate day,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,Yes,20 - 40 minutes,4,3,4,Yes,Yes,3,4,2.9
15-20,Female,60,164,Never,No,Yes,Before 8 am,11am -1 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,Yes,More than 1 hour,4,3,5,Yes,Yes,3,4,2.4
15-20,Male,51,173,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Daily once,3-6 litres,more than 10000,3-6 hours,No,Yes,6-8 hours,9pm - 10pm,Yes,Yes,10-20 minutes,5,4,4,Yes,Yes,3,3,3.75
15-20,Female,73,169,15 days,No,No,8-9 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,Below 1 hour,No,Yes,6-8 hours,9pm - 10pm,No,Yes,10-20 minutes,4,4,4,Yes,Yes,3,4,3.68
15-20,Male,50,165,Never,No,Yes,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,more than 10000,Below 1 hour,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,4,2,3,Yes,Yes,3,3,3.7
15-20,Male,53,167,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,5000 - 10000,Below 1 hour,Yes,No,4-6 hours,After 11pm,No,No,40-60 minutes,4,3,4,No,Yes,3,4,2.98
15-20,Female,50,154,Never,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,3,3,No,No,3,4,3.66
15-20,Male,62,172,Never,No,Yes,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Every alternate day,1-3 litres,less than 5000,1-3 hours,Yes,No,6-8 hours,10pm - 11pm,Yes,No,10-20 minutes,2,1,4,No,No,3,2,3.26
20-30,Male,75,170,Weekly,No,No,9-10 am,2-3 pm,8-10 pm,2-3 times,more than 7 times per week,1-3 litres,5000 - 10000,Below 1 hour,Yes,Yes,4-6 hours,After 11pm,No,No,40-60 minutes,4,5,4,No,Yes,2,5,3.31
30-40,Male,86,185,15 days,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,Below 1 hour,Yes,Yes,6-8 hours,After 11pm,Yes,Yes,10-20 minutes,5,3,3,Yes,Yes,2,2,3.95
15-20,Male,68,156,15 days,No,No,8-9 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,Yes,Yes,6-8 hours,After 11pm,No,No,10-20 minutes,4,4,5,No,No,2,4,3.46
15-20,Male,55,150,Never,No,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,1-3 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,20 - 40 minutes,4,5,3,Yes,Yes,3,5,3.58
30-40,Male,79,168,Never,No,No,Before 8 am,11am -1 pm,7-8 pm,2-3 times,more than 7 times per week,3-6 litres,more than 10000,1-3 hours,No,Yes,8-10 hours,9pm - 10pm,No,Yes,10-20 minutes,5,1,1,Yes,Yes,5,3,3.76
15-20,Female,44,158,Never,No,Yes,After 10 am,2-3 pm,8-10 pm,3-5 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,No,20 - 40 minutes,4,3,5,No,No,2,5,1.83
15-20,Male,65,168,Never,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,more than 7 times per week,3-6 litres,less than 5000,More than 6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,2,4,Yes,Yes,2,3,3.31
15-20,Male,80,185,Never,No,No,9-10 am,1-2 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,less than 5000,More than 6 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,No,20 - 40 minutes,4,1,2,Yes,Yes,2,2,3.35
15-20,Female,45,160,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,4,4,5,Yes,Yes,3,4,3
20-30,Female,56,160,Never,No,No,Before 8 am,Skip the lunch,8-10 pm,3-5 times,Daily once,1-3 litres,5000 - 10000,1-3 hours,No,No,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,3,5,No,Yes,1,3,2.8
15-20,Female,43,154,Never,No,No,Before 8 am,1-2 pm,8-10 pm,3-5 times,Every alternate day,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,9pm - 10pm,No,Yes,20 - 40 minutes,3,3,5,No,Yes,2,3,2.65
20-30,Male,70,181,Weekly,No,No,Skip the breakfast,11am -1 pm,8-10 pm,3-5 times,more than 7 times per week,3-6 litres,5000 - 10000,3-6 hours,No,Yes,6-8 hours,10pm - 11pm,No,No,10-20 minutes,4,3,4,Yes,Yes,2,3,0.68
20-30,Female,65,149,Weekly,No,No,9-10 am,1-2 pm,7-8 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,1-3 hours,Yes,Yes,6-8 hours,10pm - 11pm,No,No,20 - 40 minutes,3,4,4,Yes,Yes,3,4,3.41
15-20,Male,82,176,Never,No,No,Before 8 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,4,4,Yes,Yes,3,4,2.91
15-20,Male,97,187,Daily,No,No,9-10 am,1-2 pm,8-10 pm,2-3 times,Daily once,3-6 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,10pm - 11pm,No,Yes,20 - 40 minutes,4,2,3,Yes,Yes,2,2,3.75
20-30,Male,72,169,Never,No,No,9-10 am,1-2 pm,8-10 pm,3-5 times,Never/Rarely,3-6 litres,less than 5000,3-6 hours,No,No,6-8 hours,After 11pm,Yes,Yes,10-20 minutes,3,3,5,Yes,Yes,3,4,2.68
20-30,Female,50,153,Never,No,Yes,Before 8 am,1-2 pm,8-10 pm,2-3 times,Daily once,1-3 litres,less than 5000,Below 1 hour,No,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,3,5,5,No,No,4,5,2.65
15-20,Female,65,172,Never,No,No,9-10 am,2-3 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,No,No,8-10 hours,After 11pm,No,No,10-20 minutes,2,5,4,Yes,Yes,3,5,2.28
20-30,Male,83,172,Never,No,No,Skip the breakfast,11am -1 pm,7-8 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,5,4,5,Yes,Yes,1,3,3.55
15-20,Male,60,183,Never,No,No,9-10 am,1-2 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,More than 6 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,2,5,Yes,Yes,2,2,3.15
20-30,Male,92,153,Weekly,No,Yes,8-9 am,11am -1 pm,7-8 pm,2-3 times,Never/Rarely,1-3 litres,less than 5000,More than 6 hours,Yes,No,6-8 hours,10pm - 11pm,No,Yes,10-20 minutes,5,4,5,No,Yes,3,5,2.76
40-60,Female,73,141,Never,No,Yes,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,Below 1 hour,No,No,6-8 hours,8pm - 9pm,No,No,10-20 minutes,3,4,5,No,Yes,3,3,2.75
15-20,Female,56,156,Never,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,1-3 litres,5000 - 10000,More than 6 hours,Yes,No,6-8 hours,10pm - 11pm,No,No,40-60 minutes,4,3,4,No,No,4,3,2.75
30-40,Male,100,176,Never,No,Yes,8-9 am,11am -1 pm,7-8 pm,No junk / Rarely,Daily once,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,After 11pm,No,No,10-20 minutes,5,2,2,No,Yes,3,3,2.9
15-20,Male,64,170,15 days,No,No,Before 8 am,1-2 pm,8-10 pm,No junk / Rarely,Never/Rarely,1-3 litres,less than 5000,1-3 hours,No,No,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,4,4,Yes,Yes,4,4,3.1
15-20,Male,52,170,Never,No,No,8-9 am,1-2 pm,7-8 pm,3-5 times,more than 7 times per week,3-6 litres,5000 - 10000,Below 1 hour,No,Yes,6-8 hours,10pm - 11pm,No,No,10-20 minutes,4,3,4,No,Yes,3,4,3.23
15-20,Female,61,163,Daily,No,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,more than 7 times per week,1-3 litres,less than 5000,Below 1 hour,Yes,Yes,6-8 hours,After 11pm,Yes,Yes,10-20 minutes,5,3,3,Yes,Yes,4,2,3.86
15-20,Male,72,180,15 days,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,5000 - 10000,1-3 hours,No,Yes,6-8 hours,10pm - 11pm,Yes,Yes,10-20 minutes,4,1,3,Yes,Yes,3,3,3.7
15-20,Female,68,154,15 days,No,No,8-9 am,11am -1 pm,7-8 pm,2-3 times,more than 7 times per week,1-3 litres,5000 - 10000,More than 6 hours,No,Yes,6-8 hours,After 11pm,No,Yes,10-20 minutes,4,3,5,Yes,No,3,4,3.03
15-20,Female,57,168,Never,No,Yes,9-10 am,1-2 pm,8-10 pm,More than 5 times / Every day,Every alternate day,1-3 litres,less than 5000,3-6 hours,Yes,Yes,6-8 hours,After 11pm,No,Yes,10-20 minutes,5,4,5,No,Yes,3,3,2.86
15-20,Female,47,140,Weekly,No,No,8-9 am,1-2 pm,8-10 pm,2-3 times,Every alternate day,3-6 litres,less than 5000,1-3 hours,Yes,Yes,8-10 hours,After 11pm,No,No,10-20 minutes,4,3,3,Yes,No,3,3,3.31
15-20,Male,82,180,Never,No,No,Before 8 am,11am -1 pm,8-10 pm,3-5 times,Daily once,3-6 litres,5000 - 10000,3-6 hours,Yes,Yes,6-8 hours,10pm - 11pm,Yes,No,10-20 minutes,4,5,5,Yes,Yes,5,5,3.38
15-20,Female,57,162,Never,No,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,Never/Rarely,3-6 litres,5000 - 10000,3-6 hours,Yes,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,4,3,4,No,Yes,3,3,2.91
15-20,Male,54,172,Weekly,No,No,8-9 am,11am -1 pm,8-10 pm,No junk / Rarely,Every alternate day,3-6 litres,more than 10000,1-3 hours,Yes,Yes,4-6 hours,After 11pm,No,Yes,10-20 minutes,4,2,4,Yes,Yes,3,3,3.73
15-20,Male,60,176,Never,No,Yes,8-9 am,1-2 pm,8-10 pm,2-3 times,Never/Rarely,3-6 litres,less than 5000,Below 1 hour,No,No,6-8 hours,After 11pm,No,No,20 - 40 minutes,3,4,5,No,Yes,3,3,2.61